crop,model,n_test,MAE,RMSE,MAPE_percent,R2
bok_choy,ridge,1543,2.4784827327093377,3.89548400210958,9.91402890594031,0.9284708017732911
bok_choy,xgboost,1543,2.303385869325322,4.1502722560537215,8.370089280950161,0.918807917437224
bok_choy,lightgbm,1543,2.3339407035329316,4.179120242020944,8.445505037335241,0.9176752841206595
bok_choy,naive_lag1,1543,2.7162588774878107,4.27984525670963,10.086054185086082,0.9136590862662867
bok_choy,random_forest,1543,2.6425998008151987,4.632567265125586,9.627457007408582,0.8988411287387881
bok_choy,moving_average_7,1543,4.956488909886788,7.906262787540883,17.945342627377894,0.7053523393723812
bok_choy,moving_average_14,1543,6.603855430419514,10.189539935648325,24.81260298119269,0.510593584261626
bok_choy,seasonal_naive_lag7,1543,7.779378263048864,12.473919455682454,28.32818180199351,0.26655698359054825
bok_choy,sarima_weekly,1543,17.402627680307756,22.958591696723985,60.78705676614335,-1.4845686196261787
cabbage,xgboost,1548,1.451198711592456,2.189483200422296,7.68256587799897,0.9501688861325706
cabbage,lightgbm,1548,1.4704143345296596,2.2332537283750806,7.71254751774009,0.9481565975960704
cabbage,random_forest,1548,1.5014716268781356,2.2527325718226927,8.011455895316647,0.9472482784458341
cabbage,ridge,1548,1.6157968047979212,2.3266178481015984,9.27334221803376,0.9437312236081378
cabbage,naive_lag1,1548,1.6003209139775278,2.549501310016138,8.506138864152465,0.9324340574807073
cabbage,moving_average_7,1548,2.156220708301146,3.1422701548107774,11.090380666583636,0.8973628931671974
cabbage,moving_average_14,1548,2.8454400134917868,3.974596610004899,14.672425133139294,0.8357885348449435
cabbage,seasonal_naive_lag7,1548,3.2420025174145652,4.6141235629000485,16.675068646722025,0.7786926685995662
cabbage,prophet,1548,7.575525746443707,9.18804858659426,59.04629262586396,0.12246605158762436
cabbage,sarima_weekly,1548,15.028237477112684,18.117639425124548,69.32699286386024,-2.4120908390874196
cauliflower,lightgbm,1548,3.5780230797296952,6.050310071725865,9.246948069548752,0.8351890625818409
cauliflower,xgboost,1548,3.587970293311461,6.055911577655251,9.213395537149927,0.8348837503626486
cauliflower,ridge,1548,3.9278982964808598,6.4938207198109215,10.586631413470874,0.8101409279125582
cauliflower,moving_average_7,1548,4.802751972103474,7.121297710057762,13.770767689230953,0.7716773222944303
cauliflower,random_forest,1548,4.081716079909957,7.1991768910778715,10.406379037617617,0.7666560988016977
cauliflower,moving_average_14,1548,5.711977058929363,8.135098713211136,16.65835699306141,0.7020410609600645
cauliflower,naive_lag1,1548,4.964964166236339,8.414737136273638,13.262501335597232,0.6812047274668065
cauliflower,seasonal_naive_lag7,1548,6.636086043792379,9.281510794192963,19.133139744909716,0.6121461443842349
cauliflower,sarima_weekly,1548,11.517596643309634,15.421887932967634,33.57659001109699,-0.07079380685068926
green_onion,ridge,1587,6.229989861144648,10.63950233988545,8.53457225874573,0.9570550437252663
green_onion,naive_lag1,1587,6.387402464964622,11.182957654613032,8.303807605518623,0.9525558252499872
green_onion,moving_average_7,1587,7.487731301494006,13.954339937601503,9.320978167506151,0.926126592294845
green_onion,random_forest,1587,6.509250570062762,14.290539424330948,7.374305527390964,0.9225240730768998
green_onion,lightgbm,1587,6.792798839149646,14.75466900613279,7.839488092488383,0.9174098074253394
green_onion,xgboost,1587,7.046537486311371,15.124863171397346,8.23322638757864,0.9132134458763621
green_onion,moving_average_14,1587,9.589568450334363,17.145277816866045,12.0226564408819,0.8884785032783115
green_onion,seasonal_naive_lag7,1587,10.866650696274325,20.615151998503947,12.979599796693423,0.8387712011219247
green_onion,sarima_weekly,1587,312.7940642452804,324.0210434127116,643.5361200415183,-38.83051928079246
lettuce,ridge,1586,3.8005397256412374,5.336853458710699,11.28011470573073,0.9147773385732412
lettuce,xgboost,1586,3.5165188645635888,5.513333871302543,9.427618682076426,0.9090478179943062
lettuce,lightgbm,1586,3.6026533171644606,5.543231191689247,9.72988448086865,0.9080587252223388
lettuce,random_forest,1586,3.9660506903150528,6.018519121022231,10.804950163103454,0.8916163366349629
lettuce,naive_lag1,1586,4.098073596769027,6.085262799254845,12.111421641043174,0.8891991189451507
lettuce,moving_average_7,1586,4.983733260937735,7.067764247614786,14.568540088081502,0.8505318544397446
lettuce,moving_average_14,1586,6.333147417386293,8.935409961975624,18.483511481828973,0.7611014560592226
lettuce,seasonal_naive_lag7,1586,6.972658899133941,10.30715174161347,19.84714566914785,0.682120972032072
lettuce,sarima_weekly,1586,36.03505111110434,39.32056648743404,157.34845940432533,-3.626196427406729
