crop,model,n_test_base,MAE_base,RMSE_base,MAPE_percent_base,R2_base,n_test_weather,MAE_weather,RMSE_weather,MAPE_percent_weather,R2_weather,MAE_delta,RMSE_delta,MAPE_percent_delta,R2_delta,RMSE_improvement_percent,MAPE_improvement_percent
cabbage,lightgbm,1548,1.425968744374839,2.116837214576541,7.588521562070455,0.9534207722120368,1548,1.4704143345296596,2.2332537283750806,7.71254751774009,0.9481565975960704,0.044445590154820636,0.11641651379853979,0.12402595566963459,-0.005264174615966399,-5.49954965818324,-1.6343889208874478
cabbage,random_forest,1548,1.454726088888892,2.1592493518660034,7.841342005973821,0.9515355870725358,1548,1.5014716268781356,2.2527325718226927,8.011455895316647,0.947248278445834,0.046745537989243635,0.09348321995668929,0.17011388934282667,-0.004287308626701791,-4.329431423744643,-2.1694486634204666
cabbage,ridge,1548,1.612311606146521,2.324796378577453,9.151849697958038,0.9438192928558444,1548,1.6157968047979212,2.3266178481015984,9.27334221803376,0.9437312236081378,0.0034851986514001787,0.0018214695241454137,0.12149252007572109,-8.806924770665692e-05,-0.0783496370232637,-1.3275187430452284
cabbage,naive_lag1,1548,1.6003209139775278,2.5495013100161383,8.506138864152465,0.9324340574807072,1548,1.6003209139775278,2.549501310016138,8.506138864152465,0.9324340574807072,0.0,-4.440892098500626e-16,0.0,0.0,1.7418669608263567e-14,0.0
cabbage,moving_average_7,1548,2.156220708301146,3.142270154810777,11.090380666583638,0.8973628931671974,1548,2.156220708301146,3.142270154810777,11.090380666583636,0.8973628931671974,0.0,0.0,-1.7763568394002505e-15,0.0,0.0,1.6017095290088474e-14
cabbage,moving_average_14,1548,2.8454400134917868,3.974596610004899,14.672425133139292,0.8357885348449435,1548,2.8454400134917868,3.974596610004899,14.672425133139294,0.8357885348449435,0.0,0.0,1.7763568394002505e-15,0.0,0.0,-1.210677051190503e-14
cabbage,seasonal_naive_lag7,1548,3.242002517414565,4.6141235629000485,16.675068646722025,0.7786926685995662,1548,3.242002517414565,4.6141235629000485,16.675068646722025,0.7786926685995662,0.0,0.0,0.0,0.0,0.0,0.0
cabbage,prophet,1548,7.695094825941574,9.355625857655497,60.24745564049039,0.0901641367043487,1548,7.575525746443707,9.18804858659426,59.04629262586396,0.1224660515876243,-0.11956907949786721,-0.1675772710612371,-1.2011630146264238,0.032301914883275606,1.791192525341449,1.9937157542287323
cabbage,sarima_weekly,1548,15.028237323942031,18.117639293067832,69.32699183552545,-2.4120907893469976,1548,15.028237477112684,18.117639425124548,69.32699286386024,-2.41209083908742,1.5317065304998323e-07,1.320567157847563e-07,1.0283347933182085e-06,-4.974042244754173e-08,-7.288847826619653e-07,-1.4833108520817944e-06
cauliflower,lightgbm,1548,3.4997496834311024,5.861583219433612,9.038867646228557,0.845310571350943,1548,3.5780230797296952,6.050310071725865,9.246948069548752,0.8351890625818409,0.07827339629859287,0.18872685229225272,0.2080804233201956,-0.010121508769102117,-3.2197248631827637,-2.3020629515138062
