crop,task,model,support_positive,support_total,accuracy,precision,recall,f1_score,tn,fp,fn,tp
bok_choy,direction_up,naive_lag1,768,1542,0.4980544747081712,0.4980544747081712,1.0,0.6649350649350649,0,774,0,768
bok_choy,direction_up,seasonal_naive_lag7,768,1542,0.5077821011673151,0.505851755526658,0.5065104166666666,0.5061808718282368,394,380,379,389
bok_choy,direction_up,moving_average_7,768,1542,0.48119325551232167,0.4800498753117207,0.5013020833333334,0.49044585987261147,357,417,383,385
bok_choy,direction_up,moving_average_14,768,1542,0.4889753566796368,0.4878640776699029,0.5234375,0.5050251256281407,352,422,366,402
bok_choy,direction_up,ridge,768,1542,0.6070038910505836,0.7612903225806451,0.3072916666666667,0.437847866419295,700,74,532,236
bok_choy,direction_up,random_forest,768,1542,0.6368352788586251,0.655223880597015,0.5716145833333334,0.6105702364394993,543,231,329,439
bok_choy,direction_up,xgboost,768,1542,0.7010376134889753,0.7641996557659209,0.578125,0.6582653817642699,637,137,324,444
bok_choy,direction_up,lightgbm,768,1542,0.7127107652399481,0.7677100494233937,0.6067708333333334,0.6778181818181818,633,141,302,466
bok_choy,direction_up,sarima_weekly,768,1542,0.503242542153048,1.0,0.0026041666666666665,0.005194805194805195,774,0,766,2
bok_choy,rise_ge_5pct,naive_lag1,508,1542,0.6705577172503242,0.0,0.0,0.0,1034,0,508,0
bok_choy,rise_ge_5pct,seasonal_naive_lag7,508,1542,0.5298313878080415,0.334855403348554,0.4330708661417323,0.3776824034334764,597,437,288,220
bok_choy,rise_ge_5pct,moving_average_7,508,1542,0.5246433203631647,0.3121869782971619,0.36811023622047245,0.33785004516711836,622,412,321,187
bok_choy,rise_ge_5pct,moving_average_14,508,1542,0.5058365758754864,0.3170028818443804,0.4330708661417323,0.36605657237936773,560,474,288,220
bok_choy,rise_ge_5pct,ridge,508,1542,0.6835278858625162,0.5980392156862745,0.12007874015748031,0.2,993,41,447,61
bok_choy,rise_ge_5pct,random_forest,508,1542,0.6926070038910506,0.5708333333333333,0.26968503937007876,0.3663101604278075,931,103,371,137
bok_choy,rise_ge_5pct,xgboost,508,1542,0.745136186770428,0.722007722007722,0.36811023622047245,0.4876140808344198,962,72,321,187
bok_choy,rise_ge_5pct,lightgbm,508,1542,0.7496757457846952,0.7132867132867133,0.4015748031496063,0.5138539042821159,952,82,304,204
bok_choy,rise_ge_5pct,sarima_weekly,508,1542,0.6712062256809338,1.0,0.001968503937007874,0.003929273084479371,1034,0,507,1
bok_choy,rise_ge_10pct,naive_lag1,334,1542,0.7833981841763943,0.0,0.0,0.0,1208,0,334,0
bok_choy,rise_ge_10pct,seasonal_naive_lag7,334,1542,0.5894941634241245,0.22867513611615245,0.3772455089820359,0.2847457627118644,783,425,208,126
bok_choy,rise_ge_10pct,moving_average_7,334,1542,0.6160830090791181,0.21585903083700442,0.2934131736526946,0.24873096446700507,852,356,236,98
bok_choy,rise_ge_10pct,moving_average_14,334,1542,0.5745784695201037,0.21951219512195122,0.3772455089820359,0.2775330396475771,760,448,208,126
bok_choy,rise_ge_10pct,ridge,334,1542,0.7853437094682231,0.5365853658536586,0.0658682634730539,0.11733333333333333,1189,19,312,22
bok_choy,rise_ge_10pct,random_forest,334,1542,0.7833981841763943,0.5,0.10179640718562874,0.1691542288557214,1174,34,300,34
bok_choy,rise_ge_10pct,xgboost,334,1542,0.8028534370946823,0.6666666666666666,0.17964071856287425,0.2830188679245283,1178,30,274,60
bok_choy,rise_ge_10pct,lightgbm,334,1542,0.811284046692607,0.680672268907563,0.24251497005988024,0.3576158940397351,1170,38,253,81
bok_choy,rise_ge_10pct,sarima_weekly,334,1542,0.7833981841763943,0.0,0.0,0.0,1208,0,334,0
