crop,task,model,support_positive,support_total,accuracy,precision,recall,f1_score,tn,fp,fn,tp
cabbage,direction_up,naive_lag1,750,1547,0.4848093083387201,0.4848093083387201,1.0,0.65302568567697,0,797,0,750
cabbage,direction_up,seasonal_naive_lag7,750,1547,0.5404007756948933,0.5256241787122208,0.5333333333333333,0.5294506949040371,436,361,350,400
cabbage,direction_up,moving_average_7,750,1547,0.5488041370394312,0.5328282828282829,0.5626666666666666,0.5473411154345007,427,370,328,422
cabbage,direction_up,moving_average_14,750,1547,0.5313510019392372,0.5156445556946183,0.5493333333333333,0.5319561007101355,410,387,338,412
cabbage,direction_up,ridge,750,1547,0.5669036845507434,0.5539083557951483,0.548,0.5509383378016086,466,331,339,411
cabbage,direction_up,random_forest,750,1547,0.636716224951519,0.6546052631578947,0.5306666666666666,0.5861561119293078,587,210,352,398
cabbage,direction_up,xgboost,750,1547,0.6813186813186813,0.7485493230174082,0.516,0.6108918705603789,667,130,363,387
cabbage,direction_up,lightgbm,750,1547,0.6800258564964448,0.7475728155339806,0.5133333333333333,0.6086956521739131,667,130,365,385
cabbage,direction_up,prophet,750,1547,0.5229476405946994,0.5048154093097913,0.8386666666666667,0.6302605210420842,180,617,121,629
cabbage,direction_up,sarima_weekly,750,1547,0.5158371040723982,0.6666666666666666,0.0026666666666666666,0.005312084993359893,796,1,748,2
cabbage,rise_ge_5pct,naive_lag1,421,1547,0.7278603749191984,0.0,0.0,0.0,1126,0,421,0
cabbage,rise_ge_5pct,seasonal_naive_lag7,421,1547,0.5966386554621849,0.33167495854063017,0.4750593824228028,0.390625,723,403,221,200
cabbage,rise_ge_5pct,moving_average_7,421,1547,0.6270200387847447,0.34705882352941175,0.42042755344418054,0.3802363050483351,793,333,244,177
cabbage,rise_ge_5pct,moving_average_14,421,1547,0.5850032320620556,0.32148626817447495,0.47268408551068886,0.38269230769230766,706,420,222,199
cabbage,rise_ge_5pct,ridge,421,1547,0.7142857142857143,0.46096654275092935,0.29453681710213775,0.35942028985507246,981,145,297,124
cabbage,rise_ge_5pct,random_forest,421,1547,0.7601809954751131,0.6086956521739131,0.332541567695962,0.43010752688172044,1036,90,281,140
cabbage,rise_ge_5pct,xgboost,421,1547,0.7750484809308339,0.6636771300448431,0.3515439429928741,0.45962732919254656,1051,75,273,148
cabbage,rise_ge_5pct,lightgbm,421,1547,0.7795733678086619,0.6666666666666666,0.38004750593824227,0.48411497730711045,1046,80,261,160
cabbage,rise_ge_5pct,prophet,421,1547,0.4137039431157078,0.2968227424749164,0.8432304038004751,0.4390847247990105,285,841,66,355
cabbage,rise_ge_5pct,sarima_weekly,421,1547,0.7272139625080801,0.0,0.0,0.0,1125,1,421,0
cabbage,rise_ge_10pct,naive_lag1,246,1547,0.8409825468648998,0.0,0.0,0.0,1301,0,246,0
cabbage,rise_ge_10pct,seasonal_naive_lag7,246,1547,0.6910148674854557,0.25933609958506226,0.508130081300813,0.3434065934065934,944,357,121,125
cabbage,rise_ge_10pct,moving_average_7,246,1547,0.7478991596638656,0.27070063694267515,0.34552845528455284,0.30357142857142855,1072,229,161,85
cabbage,rise_ge_10pct,moving_average_14,246,1547,0.6858435681965094,0.23333333333333334,0.4268292682926829,0.3017241379310345,956,345,141,105
cabbage,rise_ge_10pct,ridge,246,1547,0.8267614738202973,0.4,0.17886178861788618,0.24719101123595505,1235,66,202,44
cabbage,rise_ge_10pct,random_forest,246,1547,0.8545572074983839,0.6296296296296297,0.2073170731707317,0.3119266055045872,1271,30,195,51
cabbage,rise_ge_10pct,xgboost,246,1547,0.8597285067873304,0.6218487394957983,0.3008130081300813,0.4054794520547945,1256,45,172,74
cabbage,rise_ge_10pct,lightgbm,246,1547,0.8519715578539108,0.5639097744360902,0.3048780487804878,0.39577836411609496,1243,58,171,75
cabbage,rise_ge_10pct,prophet,246,1547,0.39754363283775046,0.189873417721519,0.8536585365853658,0.3106508875739645,405,896,36,210
cabbage,rise_ge_10pct,sarima_weekly,246,1547,0.8409825468648998,0.0,0.0,0.0,1301,0,246,0
bok_choy,direction_up,naive_lag1,768,1542,0.4980544747081712,0.4980544747081712,1.0,0.6649350649350649,0,774,0,768
bok_choy,direction_up,seasonal_naive_lag7,768,1542,0.5077821011673151,0.505851755526658,0.5065104166666666,0.5061808718282368,394,380,379,389
bok_choy,direction_up,moving_average_7,768,1542,0.48119325551232167,0.4800498753117207,0.5013020833333334,0.49044585987261147,357,417,383,385
bok_choy,direction_up,moving_average_14,768,1542,0.4889753566796368,0.4878640776699029,0.5234375,0.5050251256281407,352,422,366,402
bok_choy,direction_up,ridge,768,1542,0.6070038910505836,0.7612903225806451,0.3072916666666667,0.437847866419295,700,74,532,236
bok_choy,direction_up,random_forest,768,1542,0.6368352788586251,0.655223880597015,0.5716145833333334,0.6105702364394993,543,231,329,439
bok_choy,direction_up,xgboost,768,1542,0.7010376134889753,0.7641996557659209,0.578125,0.6582653817642699,637,137,324,444
bok_choy,direction_up,lightgbm,768,1542,0.7127107652399481,0.7677100494233937,0.6067708333333334,0.6778181818181818,633,141,302,466
bok_choy,direction_up,sarima_weekly,768,1542,0.503242542153048,1.0,0.0026041666666666665,0.005194805194805195,774,0,766,2
bok_choy,rise_ge_5pct,naive_lag1,508,1542,0.6705577172503242,0.0,0.0,0.0,1034,0,508,0
bok_choy,rise_ge_5pct,seasonal_naive_lag7,508,1542,0.5298313878080415,0.334855403348554,0.4330708661417323,0.3776824034334764,597,437,288,220
bok_choy,rise_ge_5pct,moving_average_7,508,1542,0.5246433203631647,0.3121869782971619,0.36811023622047245,0.33785004516711836,622,412,321,187
bok_choy,rise_ge_5pct,moving_average_14,508,1542,0.5058365758754864,0.3170028818443804,0.4330708661417323,0.36605657237936773,560,474,288,220
bok_choy,rise_ge_5pct,ridge,508,1542,0.6835278858625162,0.5980392156862745,0.12007874015748031,0.2,993,41,447,61
bok_choy,rise_ge_5pct,random_forest,508,1542,0.6926070038910506,0.5708333333333333,0.26968503937007876,0.3663101604278075,931,103,371,137
bok_choy,rise_ge_5pct,xgboost,508,1542,0.745136186770428,0.722007722007722,0.36811023622047245,0.4876140808344198,962,72,321,187
bok_choy,rise_ge_5pct,lightgbm,508,1542,0.7496757457846952,0.7132867132867133,0.4015748031496063,0.5138539042821159,952,82,304,204
bok_choy,rise_ge_5pct,sarima_weekly,508,1542,0.6712062256809338,1.0,0.001968503937007874,0.003929273084479371,1034,0,507,1
bok_choy,rise_ge_10pct,naive_lag1,334,1542,0.7833981841763943,0.0,0.0,0.0,1208,0,334,0
bok_choy,rise_ge_10pct,seasonal_naive_lag7,334,1542,0.5894941634241245,0.22867513611615245,0.3772455089820359,0.2847457627118644,783,425,208,126
bok_choy,rise_ge_10pct,moving_average_7,334,1542,0.6160830090791181,0.21585903083700442,0.2934131736526946,0.24873096446700507,852,356,236,98
bok_choy,rise_ge_10pct,moving_average_14,334,1542,0.5745784695201037,0.21951219512195122,0.3772455089820359,0.2775330396475771,760,448,208,126
bok_choy,rise_ge_10pct,ridge,334,1542,0.7853437094682231,0.5365853658536586,0.0658682634730539,0.11733333333333333,1189,19,312,22
bok_choy,rise_ge_10pct,random_forest,334,1542,0.7833981841763943,0.5,0.10179640718562874,0.1691542288557214,1174,34,300,34
bok_choy,rise_ge_10pct,xgboost,334,1542,0.8028534370946823,0.6666666666666666,0.17964071856287425,0.2830188679245283,1178,30,274,60
bok_choy,rise_ge_10pct,lightgbm,334,1542,0.811284046692607,0.680672268907563,0.24251497005988024,0.3576158940397351,1170,38,253,81
bok_choy,rise_ge_10pct,sarima_weekly,334,1542,0.7833981841763943,0.0,0.0,0.0,1208,0,334,0
cauliflower,direction_up,naive_lag1,788,1547,0.5093729799612152,0.5093729799612152,1.0,0.6749464668094218,0,759,0,788
cauliflower,direction_up,seasonal_naive_lag7,788,1547,0.5908209437621202,0.5967540574282147,0.6065989847715736,0.6016362492133417,436,323,310,478
cauliflower,direction_up,moving_average_7,788,1547,0.59469941822883,0.5990159901599016,0.618020304568528,0.6083697688944409,433,326,301,487
cauliflower,direction_up,moving_average_14,788,1547,0.5875888817065288,0.5912408759124088,0.616751269035533,0.6037267080745342,423,336,302,486
cauliflower,direction_up,ridge,788,1547,0.6923076923076923,0.7407407407407407,0.6091370558375635,0.6685236768802229,591,168,308,480
cauliflower,direction_up,random_forest,788,1547,0.702650290885585,0.6966426858513189,0.7373096446700508,0.7163995067817509,506,253,207,581
cauliflower,direction_up,xgboost,788,1547,0.7427278603749192,0.768595041322314,0.7081218274111675,0.7371202113606341,591,168,230,558
cauliflower,direction_up,lightgbm,788,1547,0.7446670976082741,0.7748251748251749,0.7030456852791879,0.7371922821024618,598,161,234,554
cauliflower,direction_up,sarima_weekly,788,1547,0.5701357466063348,0.5864978902953587,0.5291878172588832,0.5563709139426284,465,294,371,417
cauliflower,rise_ge_5pct,naive_lag1,541,1547,0.6502908855850033,0.0,0.0,0.0,1006,0,541,0
cauliflower,rise_ge_5pct,seasonal_naive_lag7,541,1547,0.6192630898513252,0.46307692307692305,0.55637707948244,0.5054575986565911,657,349,240,301
cauliflower,rise_ge_5pct,moving_average_7,541,1547,0.6438267614738203,0.49122807017543857,0.5175600739371534,0.504050405040504,716,290,261,280
cauliflower,rise_ge_5pct,moving_average_14,541,1547,0.6115061409179057,0.453125,0.5360443622920518,0.4911092294665538,656,350,251,290
cauliflower,rise_ge_5pct,ridge,541,1547,0.7349709114414997,0.7119741100323624,0.4066543438077634,0.5176470588235295,917,89,321,220
cauliflower,rise_ge_5pct,random_forest,541,1547,0.7110536522301228,0.6715328467153284,0.34011090573012936,0.45153374233128835,916,90,357,184
cauliflower,rise_ge_5pct,xgboost,541,1547,0.746606334841629,0.7411003236245954,0.4232902033271719,0.5388235294117647,926,80,312,229
cauliflower,rise_ge_5pct,lightgbm,541,1547,0.7575953458306399,0.7412790697674418,0.4713493530499076,0.576271186440678,917,89,286,255
cauliflower,rise_ge_5pct,sarima_weekly,541,1547,0.5856496444731739,0.421875,0.49907578558225507,0.4572396274343776,636,370,271,270
cauliflower,rise_ge_10pct,naive_lag1,381,1547,0.7537168713639302,0.0,0.0,0.0,1166,0,381,0
cauliflower,rise_ge_10pct,seasonal_naive_lag7,381,1547,0.6767937944408533,0.39042357274401474,0.5564304461942258,0.4588744588744589,835,331,169,212
cauliflower,rise_ge_10pct,moving_average_7,381,1547,0.7201034259857789,0.4336734693877551,0.4461942257217848,0.4398447606727037,944,222,211,170
cauliflower,rise_ge_10pct,moving_average_14,381,1547,0.6800258564964448,0.38414634146341464,0.49606299212598426,0.4329896907216495,863,303,192,189
cauliflower,rise_ge_10pct,ridge,381,1547,0.7879767291531997,0.6906474820143885,0.25196850393700787,0.36923076923076925,1123,43,285,96
cauliflower,rise_ge_10pct,random_forest,381,1547,0.7853910795087266,0.7207207207207207,0.2099737532808399,0.3252032520325203,1135,31,301,80
cauliflower,rise_ge_10pct,xgboost,381,1547,0.8125404007756949,0.782608695652174,0.33070866141732286,0.46494464944649444,1131,35,255,126
cauliflower,rise_ge_10pct,lightgbm,381,1547,0.8086619263089851,0.7456647398843931,0.33858267716535434,0.4657039711191336,1122,44,252,129
cauliflower,rise_ge_10pct,sarima_weekly,381,1547,0.6037491919844861,0.30204778156996587,0.4645669291338583,0.36608066184074456,757,409,204,177
green_onion,direction_up,naive_lag1,807,1586,0.5088272383354351,0.5088272383354351,1.0,0.6744671959882992,0,779,0,807
green_onion,direction_up,seasonal_naive_lag7,807,1586,0.5996216897856242,0.5955555555555555,0.6641883519206939,0.6280023432923257,415,364,271,536
green_onion,direction_up,moving_average_7,807,1586,0.5907944514501892,0.5901826484018264,0.6406443618339529,0.6143790849673203,420,359,290,517
green_onion,direction_up,moving_average_14,807,1586,0.5403530895334174,0.5438202247191011,0.5997521685254027,0.5704183853859752,373,406,323,484
green_onion,direction_up,ridge,807,1586,0.592686002522068,0.5837669094693028,0.6951672862453532,0.6346153846153846,379,400,246,561
green_onion,direction_up,random_forest,807,1586,0.6399747793190416,0.6408114558472554,0.6654275092936803,0.652887537993921,478,301,270,537
