crop,model,n_test,MAE,RMSE,MAPE_percent,R2
bok_choy,xgboost,1543,2.262870314283159,3.9582972847341473,8.326554986722147,0.9261454385488386
bok_choy,lightgbm,1543,2.2622843518759046,3.999579073841728,8.199555787960183,0.9245969207381148
bok_choy,ridge,1543,2.661288603776262,4.147425853487526,10.426713847764274,0.9189192480140257
bok_choy,naive_lag1,1543,2.7162588774878107,4.27984525670963,10.086054185086082,0.9136590862662867
bok_choy,random_forest,1543,2.580474239533759,4.462595100045282,9.421316909168205,0.9061281287403123
bok_choy,moving_average_7,1543,4.956488909886788,7.906262787540883,17.945342627377894,0.7053523393723812
bok_choy,moving_average_14,1543,6.603855430419514,10.189539935648325,24.812602981192686,0.510593584261626
bok_choy,seasonal_naive_lag7,1543,7.779378263048864,12.473919455682454,28.3281818019935,0.26655698359054825
bok_choy,prophet,1543,8.852266096356276,13.755757720652122,33.18659911586217,0.10807252369900999
bok_choy,sarima_weekly,1543,17.40297163304515,22.958882664599102,60.78881111885362,-1.4846315968542632
cabbage,xgboost,1548,1.4157720584659221,2.1090203746087552,7.525232619583977,0.9537641430739465
cabbage,lightgbm,1548,1.425968744374839,2.116837214576541,7.588521562070455,0.9534207722120368
cabbage,random_forest,1548,1.4547260888888922,2.1592493518660034,7.8413420059738215,0.9515355870725358
cabbage,ridge,1548,1.612311606146521,2.324796378577453,9.151849697958038,0.9438192928558444
cabbage,naive_lag1,1548,1.6003209139775278,2.5495013100161383,8.506138864152465,0.9324340574807073
cabbage,moving_average_7,1548,2.156220708301146,3.1422701548107774,11.090380666583638,0.8973628931671974
cabbage,moving_average_14,1548,2.8454400134917868,3.974596610004899,14.672425133139292,0.8357885348449435
cabbage,seasonal_naive_lag7,1548,3.2420025174145652,4.6141235629000485,16.675068646722025,0.7786926685995662
cabbage,prophet,1548,7.695094825941574,9.355625857655497,60.24745564049039,0.09016413670434897
cabbage,sarima_weekly,1548,15.028237323942031,18.117639293067832,69.32699183552545,-2.4120907893469976
cauliflower,xgboost,1548,3.4573313077617893,5.775589483129682,8.90667953148804,0.8498160928182348
cauliflower,lightgbm,1548,3.4997496834311024,5.861583219433612,9.038867646228555,0.845310571350943
cauliflower,ridge,1548,4.012810737529868,6.6221275588943165,10.611878018330643,0.8025642248655267
cauliflower,random_forest,1548,3.99190779897593,6.977037233327278,10.246953864233909,0.7808341691769936
cauliflower,moving_average_7,1548,4.802751972103474,7.121297710057762,13.770767689230953,0.7716773222944303
cauliflower,moving_average_14,1548,5.711977058929363,8.135098713211136,16.65835699306141,0.7020410609600645
cauliflower,naive_lag1,1548,4.964964166236339,8.414737136273638,13.262501335597232,0.6812047274668065
cauliflower,prophet,1548,6.173853203508453,8.841575251387802,19.36871306502523,0.6480426329742391
cauliflower,seasonal_naive_lag7,1548,6.636086043792379,9.281510794192963,19.133139744909716,0.6121461443842349
cauliflower,sarima_weekly,1548,11.5175968162656,15.421888460907226,33.57658839770025,-0.07079388016395116
green_onion,ridge,1587,6.174752748205001,10.712806609132386,8.343016464511287,0.956461238999662
green_onion,naive_lag1,1587,6.387402464964622,11.182957654613032,8.303807605518623,0.9525558252499872
green_onion,random_forest,1587,6.53913055396213,13.69589580439325,7.603674222411147,0.9288376268450863
green_onion,xgboost,1587,6.567435888165459,13.833314370847615,7.803145253646619,0.927402439153205
green_onion,moving_average_7,1587,7.487731301494006,13.954339937601503,9.320978167506151,0.926126592294845
green_onion,lightgbm,1587,6.65318243117466,14.247282992184367,7.760642421182516,0.9229923913056508
green_onion,moving_average_14,1587,9.589568450334363,17.145277816866045,12.0226564408819,0.8884785032783115
green_onion,seasonal_naive_lag7,1587,10.866650696274325,20.615151998503947,12.979599796693423,0.8387712011219247
green_onion,prophet,1587,61.857964700802235,78.17376802203937,84.3691702856633,-1.3184173995479171
green_onion,sarima_weekly,1587,312.7940641479638,324.02104331201906,643.5361198576771,-38.83051925603706
lettuce,ridge,1586,3.8200947808391423,5.444366305246096,11.256814849540007,0.9113090693979866
lettuce,xgboost,1586,3.53161230830559,5.5180445642377345,9.47929494907398,0.9088923291927845
lettuce,lightgbm,1586,3.5705953261771692,5.542820584654809,9.569459030040614,0.9080723455584461
lettuce,random_forest,1586,3.9921702363078433,6.0534543856661704,10.874397023012436,0.8903544310921413
lettuce,naive_lag1,1586,4.098073596769027,6.085262799254845,12.111421641043174,0.8891991189451507
lettuce,moving_average_7,1586,4.983733260937735,7.067764247614786,14.5685400880815,0.8505318544397446
lettuce,moving_average_14,1586,6.333147417386293,8.935409961975624,18.483511481828973,0.7611014560592226
lettuce,seasonal_naive_lag7,1586,6.972658899133941,10.30715174161347,19.84714566914785,0.682120972032072
lettuce,prophet,1586,9.85847801567814,13.21410533121768,31.76371173783876,0.4775315556353843
lettuce,sarima_weekly,1586,36.03505110634424,39.3205664826035,157.34845938510878,-3.626196426270069
