crop,horizon,model,task,support_positive,support_total,accuracy,precision,recall,f1_score,tn,fp,fn,tp
bok_choy,1,ridge,target_rise_ge_10pct_h1,335,1543,0.7660401814646792,0.4226190476190476,0.21194029850746268,0.2823061630218688,1111,97,264,71
bok_choy,1,ann,target_rise_ge_10pct_h1,335,1543,0.7381723914452365,0.3438914027149321,0.22686567164179106,0.2733812949640288,1063,145,259,76
bok_choy,1,lightgbm,target_rise_ge_10pct_h1,335,1543,0.7621516526247569,0.39473684210526316,0.1791044776119403,0.2464065708418891,1116,92,275,60
bok_choy,1,xgboost,target_rise_ge_10pct_h1,335,1543,0.762799740764744,0.3816793893129771,0.14925373134328357,0.2145922746781116,1127,81,285,50
bok_choy,1,random_forest,target_rise_ge_10pct_h1,335,1543,0.7699287103046014,0.3979591836734694,0.11641791044776119,0.18013856812933027,1149,59,296,39
bok_choy,1,lightgbm,target_rise_ge_5pct_h1,509,1543,0.6966947504860661,0.5623100303951368,0.36345776031434185,0.441527446300716,890,144,324,185
bok_choy,1,xgboost,target_rise_ge_5pct_h1,509,1543,0.6889176928062216,0.5435435435435435,0.3555992141453831,0.42992874109263657,882,152,328,181
bok_choy,1,ridge,target_rise_ge_5pct_h1,509,1543,0.6908619572261827,0.549079754601227,0.3516699410609037,0.4287425149700599,887,147,330,179
bok_choy,1,random_forest,target_rise_ge_5pct_h1,509,1543,0.6817887232663642,0.5375,0.25343811394891946,0.3444592790387183,923,111,380,129
bok_choy,1,ann,target_rise_ge_5pct_h1,509,1543,0.644199611147116,0.43670886075949367,0.27111984282907664,0.33454545454545453,856,178,371,138
bok_choy,1,xgboost,target_up_h1,769,1543,0.6753078418664938,0.6914285714285714,0.6293888166449935,0.6589516678012253,558,216,285,484
bok_choy,1,lightgbm,target_up_h1,769,1543,0.6668826960466624,0.6946564885496184,0.5916775032509753,0.6390449438202247,574,200,314,455
bok_choy,1,random_forest,target_up_h1,769,1543,0.6357744653272845,0.6404341926729986,0.6137841352405722,0.6268260292164675,509,265,297,472
bok_choy,1,ridge,target_up_h1,769,1543,0.6506804925469863,0.6796875,0.5656697009102731,0.6174591909155429,569,205,334,435
bok_choy,1,ann,target_up_h1,769,1543,0.5767984445884641,0.6283185840707964,0.3693107932379714,0.4651924651924652,606,168,485,284
bok_choy,5,ridge,target_rise_ge_10pct_h5,555,1543,0.7187297472456254,0.6397228637413395,0.4990990990990991,0.5607287449392713,832,156,278,277
bok_choy,5,random_forest,target_rise_ge_10pct_h5,555,1543,0.6804925469863902,0.5561594202898551,0.5531531531531532,0.5546522131887985,743,245,248,307
bok_choy,5,xgboost,target_rise_ge_10pct_h5,555,1543,0.6992871030460143,0.5949895615866388,0.5135135135135135,0.5512572533849129,794,194,270,285
bok_choy,5,lightgbm,target_rise_ge_10pct_h5,555,1543,0.6863253402462735,0.5728952772073922,0.5027027027027027,0.5355086372360844,780,208,276,279
bok_choy,5,ann,target_rise_ge_10pct_h5,555,1543,0.6714193130265717,0.5563380281690141,0.42702702702702705,0.4831804281345566,799,189,318,237
bok_choy,5,ridge,target_rise_ge_5pct_h5,650,1543,0.7103046014257939,0.6925996204933587,0.5615384615384615,0.6202209005947323,731,162,285,365
