crop,horizon,model,n_test,MAE,RMSE,MAPE_percent,R2
green_onion,7,xgboost,1587,11.525851054740775,20.291371298895086,13.580388341277027,0.8437959349714877
green_onion,7,lightgbm,1587,11.651825829432667,20.323751494244522,13.961065560746388,0.8432970082423147
green_onion,14,ridge,1587,14.708223250287382,24.079151354361226,19.24162892470269,0.7800358578887108
green_onion,14,lightgbm,1587,15.852828973466016,26.193811034605474,19.035828772268225,0.7397043464108939
green_onion,14,random_forest,1587,15.585033805560276,26.22740494480327,18.498353559446183,0.739036253007328
green_onion,14,xgboost,1587,15.800772366358553,26.407978369816806,18.518317580097126,0.7354304569324084
lettuce,1,ridge,1586,3.8555923721265057,5.429144980635843,11.602695514384832,0.9118042992255043
lettuce,1,xgboost,1586,3.9702328456998317,5.936823494326795,11.047796920756914,0.8945387750773932
lettuce,1,lightgbm,1586,3.9435675097971545,5.988161146647427,10.825443995187154,0.8927069737491646
lettuce,1,random_forest,1586,4.019209495544394,6.153690791388219,11.045673155429395,0.8866932253762766
lettuce,5,ridge,1586,5.90261102482628,7.990639108166881,18.123552648578244,0.8089497678331101
lettuce,5,xgboost,1586,5.989754710487213,8.589873573277517,16.537830664794992,0.7792208380063339
lettuce,5,lightgbm,1586,6.185394014006813,8.955298074845,16.86239499180991,0.7600368090431308
lettuce,5,random_forest,1586,6.553653277380169,9.374210041663284,18.03045467163174,0.7370616718106489
lettuce,7,ridge,1586,6.294448724698964,8.641819849221662,19.155839992336176,0.7765424905632261
lettuce,7,xgboost,1586,6.567632400787068,9.536763114183762,18.103511681969312,0.7278636677335936
lettuce,7,lightgbm,1586,6.713876132037963,9.745109842790072,18.57799732715927,0.7158432256696059
lettuce,7,random_forest,1586,6.847706008015414,9.914139715899735,18.723692326393984,0.7059002829387443
lettuce,14,ridge,1586,8.562351551838304,11.841681139685761,25.66962274533368,0.5804233973072934
lettuce,14,xgboost,1586,8.519911728573673,12.247002275780043,23.422284653511653,0.5512090053272821
lettuce,14,lightgbm,1586,8.947794019141648,13.05154989504014,24.057628877077917,0.49030694877934256
lettuce,14,random_forest,1586,9.039315598335577,13.42621124031605,23.8486971705671,0.4606241611454487
