crop,model_base,n_test_base,MAE_base,RMSE_base,MAPE_percent_base,R2_base,model_weather,n_test_weather,MAE_weather,RMSE_weather,MAPE_percent_weather,R2_weather,RMSE_improvement_percent,MAPE_improvement_percent
bok_choy,xgboost,1543,2.262870314283159,3.9582972847341473,8.326554986722147,0.9261454385488386,ridge,1543,2.4784827327093377,3.89548400210958,9.91402890594031,0.9284708017732912,1.5868763285369631,-19.065194690356464
cabbage,xgboost,1548,1.415772058465922,2.1090203746087552,7.525232619583977,0.9537641430739464,xgboost,1548,1.451198711592456,2.189483200422296,7.68256587799897,0.9501688861325706,-3.815175366831987,-2.0907427898712703
cauliflower,xgboost,1548,3.4573313077617893,5.775589483129682,8.90667953148804,0.8498160928182348,lightgbm,1548,3.5780230797296952,6.050310071725865,9.246948069548752,0.8351890625818409,-4.756580941194541,-3.8203747744347525
green_onion,ridge,1587,6.174752748205001,10.712806609132386,8.343016464511287,0.956461238999662,ridge,1587,6.229989861144648,10.63950233988545,8.53457225874573,0.9570550437252664,0.6842676426590782,-2.296001632614106
lettuce,ridge,1586,3.8200947808391423,5.444366305246096,11.256814849540008,0.9113090693979866,ridge,1586,3.800539725641237,5.336853458710699,11.28011470573073,0.9147773385732412,1.9747540945545796,-0.20698444899512336
